uber-10k.csv D = 0.02 M = 10 K = 500 L = 2
Number of points = 10000
Number of Outliers = 236
Point: (40.8189, -73.9933)
Point: (40.583, -73.9575)
Point: (40.5841, -73.9569)
Point: (40.7204, -73.8432)
Point: (40.7255, -73.8521)
Point: (40.7359, -74.0704)
Point: (40.7359, -74.0704)
Point: (40.6211, -73.931)
Point: (40.7218, -73.844)
Point: (40.6718, -73.8971)
Point: (40.6961, -73.8095)
Point: (40.6259, -73.9564)
Point: (40.6097, -73.9514)
Point: (40.6175, -74.0196)
Point: (40.589, -73.968)
Point: (40.6678, -73.7956)
Point: (40.6751, -73.8016)
Point: (40.6164, -73.9523)
Point: (40.6678, -73.7958)
Point: (40.7407, -73.8787)
Point: (40.7589, -73.843)
Point: (40.7339, -73.8589)
Point: (40.8053, -73.9954)
Point: (40.6575, -73.9226)
Point: (40.6364, -73.9181)
Point: (40.7545, -73.8461)
Point: (40.6, -73.967)
Point: (40.6, -73.967)
Point: (40.728, -73.8251)
Point: (40.7004, -73.8077)
Point: (40.8645, -73.8683)
Point: (40.661, -73.9153)
Point: (40.728, -73.8253)
Point: (40.6217, -73.9291)
Point: (40.8308, -73.9202)
Point: (40.6675, -73.7994)
Point: (40.6677, -73.7959)
Point: (40.8791, -73.8811)
Point: (40.7122, -73.8232)
Point: (40.6328, -73.9581)
Point: (40.7194, -73.8129)
Point: (40.7504, -73.8487)
Point: (40.8544, -73.8902)
Point: (40.6268, -73.9355)
Point: (40.8041, -73.9944)
Point: (40.628, -73.921)
Point: (40.8402, -73.9692)
Point: (40.8518, -73.8822)
Point: (40.6999, -74.069)
Point: (40.6999, -74.069)
Point: (40.6773, -73.7927)
Point: (40.8804, -73.8838)
Point: (40.6286, -73.9205)
Point: (40.7145, -73.825)
Point: (40.6266, -73.9174)
Point: (40.6449, -73.9216)
Point: (40.8596, -73.8856)
Point: (40.9071, -73.9101)
Point: (40.7455, -74.1519)
Point: (40.9062, -73.9043)
Point: (40.7048, -73.8175)
Point: (40.7127, -73.812)
Point: (40.7092, -73.9038)
Running time of ExactOutliers = 5523 ms
Number of sure outliers = 165
Number of uncertain points = 195
Cell: (5796, -10488)  Size = 1
Cell: (5744, -10488)  Size = 1
Cell: (5765, -10477)  Size = 1
Cell: (5779, -10449)  Size = 1
Cell: (5781, -10455)  Size = 1
Cell: (5752, -10438)  Size = 1
Cell: (5767, -10525)  Size = 1
Cell: (5766, -10384)  Size = 1
Cell: (5746, -10468)  Size = 1
Cell: (5761, -10491)  Size = 1
Cell: (5783, -10451)  Size = 1
Cell: (5753, -10505)  Size = 1
Cell: (5742, -10456)  Size = 1
Cell: (5776, -10488)  Size = 1
Cell: (5756, -10454)  Size = 1
Cell: (5749, -10463)  Size = 1
Cell: (5763, -10491)  Size = 1
Cell: (5772, -10446)  Size = 1
Cell: (5753, -10467)  Size = 1
Cell: (5760, -10458)  Size = 1
Cell: (5770, -10456)  Size = 1
Cell: (5761, -10489)  Size = 1
Cell: (5783, -10457)  Size = 1
Cell: (5753, -10431)  Size = 1
Cell: (5749, -10449)  Size = 1
Cell: (5786, -10478)  Size = 1
Cell: (5746, -10460)  Size = 1
Cell: (5769, -10455)  Size = 1
Cell: (5764, -10444)  Size = 1
Cell: (5748, -10458)  Size = 1
Cell: (5771, -10457)  Size = 1
Cell: (5761, -10457)  Size = 1
Cell: (5754, -10456)  Size = 1
Cell: (5761, -10449)  Size = 1
Cell: (5769, -10475)  Size = 1
Cell: (5763, -10431)  Size = 1
Cell: (5762, -10444)  Size = 1
Cell: (5772, -10516)  Size = 1
Cell: (5791, -10449)  Size = 1
Cell: (5754, -10432)  Size = 1
Cell: (5750, -10456)  Size = 1
Cell: (5750, -10462)  Size = 1
Cell: (5760, -10520)  Size = 1
Cell: (5760, -10446)  Size = 1
Cell: (5801, -10413)  Size = 1
Cell: (5780, -10442)  Size = 1
Cell: (5769, -10533)  Size = 1
Cell: (5748, -10460)  Size = 1
Cell: (5786, -10446)  Size = 1
Cell: (5762, -10502)  Size = 1
Cell: (5751, -10457)  Size = 1
Cell: (5790, -10444)  Size = 1
Cell: (5745, -10457)  Size = 1
Cell: (5756, -10418)  Size = 1
Cell: (5759, -10445)  Size = 1
Cell: (5742, -10458)  Size = 1
Cell: (5773, -10455)  Size = 1
Cell: (5778, -10450)  Size = 1
Cell: (5749, -10455)  Size = 1
Cell: (5784, -10452)  Size = 1
Cell: (5745, -10455)  Size = 1
Cell: (5768, -10466)  Size = 1
Cell: (5764, -10456)  Size = 1
Cell: (5785, -10453)  Size = 1
Cell: (5764, -10468)  Size = 1
Cell: (5751, -10465)  Size = 1
Cell: (5774, -10484)  Size = 1
